Team,Code,Points,Group,Host
Ecuador,Ecuador,0,A,N
Netherlands,Netherlands,0,A,N
Qatar,Qatar,0,A,Y
Senegal,Senegal,0,A,N
England,England,0,B,N
Iran,Iran,0,B,N
USA,United_States,0,B,N
Wales,Wales,0,B,N
Argentina,Argentina,0,C,N
Mexico,Mexico,0,C,N
Poland,Poland,0,C,N
Saudi Arabia,Saudi_Arabia,0,C,N
Denmark,Denmark,0,D,N
France,France,0,D,N
Tunisia,Tunisia,0,D,N
Australia,Australia,0,D,N
Costa Rica,Costa_Rica,0,E,N
Germany,Germany,0,E,N
Japan,Japan,0,E,N
Spain,Spain,0,E,N
Belgium,Belgium,0,F,N
Canada,Canada,0,F,N
Croatia,Croatia,0,F,N
Morocco,Morocco,0,F,N
Brazil,Brazil,0,G,N
Cameroon,Cameroon,0,G,N
Serbia,Serbia,0,G,N
Switzerland,Switzerland,0,G,N
Ghana,Ghana,0,H,N
Portugal,Portugal,0,H,N
South Korea,South_Korea,0,H,N
Uruguay,Uruguay,0,H,N